image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.07,512,512,clean,0,16,16,4,5.997803538743136,5.740552262226484,,786572,526799,,91768,131.5205841064453,26.940866318881554,0.7359124542733904,19780406.0,0.3473958671092987
4.2.07,512,512,clean,0,32,16,4,4.797189146984189,3.639421615497278,,786572,526799,,144748,75.78972625732422,29.334700224146502,0.7922637887423543,11259336.0,0.3134901821613312
4.2.07,512,512,clean,0,64,16,4,3.9960975609756098,2.372209788761252,,786572,526799,,222071,44.3221321105957,31.66459716963546,0.8457843441550086,6546717.0,0.28745582699775696
4.2.07,512,512,noise,5,4,16,4,11.997803136632697,14.982480589289269,15.888996331162367,786572,526799,558673,35161,559.1727905273438,20.655343304824534,0.560903358546957,84809608.0,0.4642375111579895
4.2.07,512,512,noise,5,8,16,4,7.998047351720771,8.823808247629895,9.357693209607719,786572,526799,558673,59702,248.29920959472656,24.18105023790974,0.6558472990149711,38411348.0,0.4188908338546753
4.2.07,512,512,noise,5,16,16,4,5.997803538743136,5.079196274477665,5.3865133006161,786572,526799,558673,103717,140.8695526123047,26.64263225539803,0.7015013033021024,21964704.0,0.3214886784553528
4.2.07,512,512,noise,5,32,16,4,4.797189146984189,3.0750313749525726,3.2610863030090766,786572,526799,558673,171315,88.1246566772461,28.679829228227014,0.7457056620010686,13074036.0,0.2894878685474396
4.2.07,512,512,noise,5,64,16,4,3.9960975609756098,1.9060263544463178,2.0213505749205822,786572,526799,558673,276386,60.40142822265625,30.320331530102685,0.7820575694256431,8046167.0,0.2572347819805145
4.2.07,512,512,noise,10,4,16,4,11.997803136632697,12.796011562097695,14.830479244091428,786572,526799,610556,41169,577.7562866210938,20.513356810914985,0.5310007413652039,92295872.0,0.4435683488845825
4.2.07,512,512,noise,10,8,16,4,7.998047351720771,7.196904287002377,8.34115686220935,786572,526799,610556,73198,271.6379089355469,23.790899822525898,0.6113629805062196,45888588.0,0.3796164393424988
4.2.07,512,512,noise,10,16,16,4,5.997803538743136,4.007386445757929,4.644530150543524,786572,526799,610556,131457,178.17901611328125,25.622238043927176,0.6204828632605502,28444040.0,0.28344395756721497
4.2.07,512,512,noise,10,32,16,4,4.797189146984189,2.282877089282851,2.6458370348542433,786572,526799,610556,230761,138.10443115234375,26.728727475018935,0.6252704325791177,18026944.0,0.25397709012031555
4.2.07,512,512,noise,10,64,16,4,3.9960975609756098,1.45030200917315,1.6808889035718022,786572,526799,610556,363234,120.09259796142578,27.335641208553064,0.6264587014876724,11586145.0,0.23236899077892303
4.2.07,512,512,noise,15,4,16,4,11.997803136632697,10.846627408993577,13.394580793938395,786572,526799,650548,48568,610.8419799804688,20.271514846653048,0.4906233355835868,104830272.0,0.4173415005207062
4.2.07,512,512,noise,15,8,16,4,7.998047351720771,5.7478178326714096,7.098022956400297,786572,526799,650548,91652,325.2309875488281,23.008884430100643,0.5305879963378968,57704784.0,0.3376616835594177
4.2.07,512,512,noise,15,16,16,4,5.997803538743136,3.0609518718441864,3.779992213964893,786572,526799,650548,172103,258.1796875,24.011582900702667,0.5211365870575929,38007748.0,0.25543272495269775
4.2.07,512,512,noise,15,32,16,4,4.797189146984189,1.815146231876068,2.241537570979657,786572,526799,650548,290224,233.77928161621094,24.44274341118455,0.49239368967515484,24550120.0,0.24291586875915527
